,has_url,character_count,sw_count,non_sw_char_proportion,mean_lemma_length,lemma_count_no_sw,unique_lemmas_no_sw,sw_proportion,hashtag_proportion,mention_proportion,target
6212,0,137,15,0.4306569343065693,3.75,11,10,0.5769230769230769,0.0,0.038461538461538464,1
4553,1,95,2,0.7368421052631579,4.666666666666667,13,13,0.13333333333333333,0.06666666666666667,0.0,1
423,1,114,0,0.8245614035087719,6.923076923076923,12,11,0.0,0.3076923076923077,0.0,0
4145,0,129,16,0.35658914728682173,4.08,7,7,0.6956521739130435,0.0,0.043478260869565216,0
6210,0,38,3,0.7105263157894737,3.75,5,4,0.375,0.0,0.0,0
323,0,27,0,0.8888888888888888,12.0,2,2,0.0,0.0,0.5,0
1088,0,65,4,0.6153846153846154,4.363636363636363,7,7,0.36363636363636365,0.0,0.0,1
1697,1,35,2,0.6285714285714286,4.833333333333333,4,4,0.3333333333333333,0.0,0.0,0
7001,0,100,8,0.52,4.277777777777778,10,7,0.4444444444444444,0.0,0.0,0
4544,0,131,12,0.5267175572519084,3.8461538461538463,10,10,0.5,0.0,0.0,1
3060,0,19,0,0.7894736842105263,7.5,2,2,0.0,0.0,0.0,1
5601,1,71,4,0.676056338028169,4.416666666666667,8,8,0.3333333333333333,0.0,0.0,1
2134,0,140,8,0.6,5.631578947368421,11,11,0.42105263157894735,0.05263157894736842,0.0,1
6515,1,119,9,0.5882352941176471,4.095238095238095,12,12,0.42857142857142855,0.047619047619047616,0.0,1
3741,0,43,7,0.2558139534883721,3.1,2,2,0.7777777777777778,0.0,0.0,0
6464,1,59,4,0.5932203389830508,3.8181818181818183,7,7,0.36363636363636365,0.0,0.0,1
670,1,78,9,0.44871794871794873,3.8666666666666667,6,6,0.6,0.0,0.06666666666666667,0
5055,1,50,6,0.4,4.333333333333333,3,3,0.6666666666666666,0.0,0.0,0
6202,0,95,13,0.37894736842105264,3.5,6,6,0.65,0.0,0.0,0
6890,0,111,12,0.42342342342342343,3.5652173913043477,6,6,0.5714285714285714,0.047619047619047616,0.047619047619047616,0
1387,1,95,5,0.6105263157894737,4.5,11,11,0.3125,0.0,0.0,1
5475,1,57,2,0.6842105263157895,6.571428571428571,5,5,0.2857142857142857,0.0,0.0,0
6188,1,107,2,0.7476635514018691,5.466666666666667,13,12,0.13333333333333333,0.0,0.13333333333333333,0
980,1,89,2,0.7415730337078652,5.142857142857143,12,12,0.14285714285714285,0.0,0.0,0
5392,0,32,2,0.53125,3.8,3,3,0.4,0.0,0.0,0
5671,1,114,15,0.37719298245614036,3.36,7,7,0.625,0.0,0.041666666666666664,1
7569,0,91,9,0.43956043956043955,3.7777777777777777,5,5,0.6,0.0,0.06666666666666667,0
344,1,99,0,0.6262626262626263,3.875,16,8,0.0,0.125,0.0625,0
3409,1,76,9,0.32894736842105265,3.857142857142857,5,5,0.6428571428571429,0.0,0.0,1
3370,0,139,6,0.6762589928057554,4.541666666666667,17,17,0.25,0.0,0.0,1
6190,1,67,1,0.6417910447761194,4.888888888888889,7,7,0.1111111111111111,0.2222222222222222,0.0,0
758,0,52,1,0.5576923076923077,4.142857142857143,6,6,0.14285714285714285,0.14285714285714285,0.0,0
3330,0,34,3,0.38235294117647056,4.8,2,2,0.6,0.0,0.0,1
3034,1,33,1,0.696969696969697,4.4,4,4,0.2,0.0,0.0,0
3730,0,69,6,0.463768115942029,3.230769230769231,7,5,0.46153846153846156,0.0,0.0,1
7588,1,88,3,0.6931818181818182,5.333333333333333,9,9,0.25,0.08333333333333333,0.0,1
7123,1,56,1,0.75,5.875,6,6,0.125,0.0,0.0,1
6808,1,115,9,0.5478260869565217,3.761904761904762,10,10,0.42857142857142855,0.0,0.0,1
5639,1,86,5,0.627906976744186,4.333333333333333,9,9,0.35714285714285715,0.0,0.0,1
4726,0,78,1,0.7435897435897436,6.1,9,9,0.1,0.1,0.3,0
5710,1,118,7,0.6271186440677966,4.444444444444445,8,8,0.4117647058823529,0.0,0.0,1
2061,0,131,8,0.6183206106870229,5.15,12,12,0.4,0.0,0.05,0
4467,1,111,11,0.43243243243243246,3.8095238095238093,8,8,0.5789473684210527,0.0,0.0,0
454,1,58,3,0.7068965517241379,4.7,7,7,0.3,0.1,0.0,1
382,1,101,8,0.6237623762376238,4.333333333333333,9,9,0.4444444444444444,0.0,0.0,1
5317,1,114,7,0.6052631578947368,5.125,9,7,0.4375,0.0,0.0,1
2906,0,45,3,0.6222222222222222,4.111111111111111,5,5,0.375,0.0,0.0,0
1684,0,52,4,0.6346153846153846,4.1,6,5,0.4,0.0,0.0,0
3293,1,59,1,0.8135593220338984,7.285714285714286,6,6,0.14285714285714285,0.0,0.0,1
7535,1,64,2,0.640625,5.625,6,6,0.25,0.0,0.0,1
6405,1,67,2,0.7164179104477612,5.2,8,8,0.2,0.0,0.1,1
7306,1,115,2,0.7478260869565218,5.5,14,14,0.125,0.0,0.125,1
4504,0,17,0,0.7647058823529411,6.5,2,2,0.0,0.0,0.0,1
297,1,70,0,0.6857142857142857,4.181818181818182,11,11,0.0,0.09090909090909091,0.0,0
3955,1,92,4,0.6521739130434783,5.461538461538462,9,9,0.3076923076923077,0.07692307692307693,0.0,1
6384,1,78,2,0.7435897435897436,4.6923076923076925,11,11,0.15384615384615385,0.0,0.0,1
5845,0,72,4,0.4444444444444444,4.909090909090909,6,6,0.4,0.0,0.0,0
4316,0,55,4,0.5636363636363636,4.3,6,6,0.4,0.0,0.1,0
4359,1,42,2,0.6666666666666666,5.333333333333333,4,4,0.3333333333333333,0.0,0.0,0
4961,0,104,8,0.5673076923076923,4.705882352941177,7,7,0.5,0.0,0.0625,0
4577,1,61,3,0.5901639344262295,4.2,7,7,0.3,0.1,0.0,1
6310,1,41,1,0.5609756097560976,5.0,4,4,0.2,0.0,0.0,0
1797,0,131,8,0.6564885496183206,4.761904761904762,11,11,0.4,0.0,0.15,0
1625,1,61,3,0.7049180327868853,4.2727272727272725,8,8,0.2727272727272727,0.0,0.0,0
3316,0,88,11,0.4772727272727273,3.9411764705882355,6,6,0.6470588235294118,0.0,0.058823529411764705,1
4578,0,138,15,0.42028985507246375,4.32,9,8,0.625,0.0,0.041666666666666664,0
2298,0,139,14,0.49640287769784175,4.52,11,11,0.56,0.0,0.0,0
2380,0,140,10,0.6071428571428571,4.24,15,14,0.4,0.0,0.04,0
1520,1,54,5,0.4074074074074074,5.25,3,3,0.625,0.0,0.0,1
692,1,105,4,0.6,3.55,15,15,0.2,0.0,0.05,0
521,1,80,0,0.675,4.416666666666667,12,12,0.0,0.0,0.0,0
6473,0,103,13,0.4368932038834951,3.5652173913043477,8,8,0.5909090909090909,0.0,0.0,0
2969,0,28,3,0.5,3.3333333333333335,2,2,0.6,0.0,0.2,0
2852,1,91,3,0.5604395604395604,5.181818181818182,7,6,0.3,0.3,0.1,1
1827,0,40,1,0.8,5.333333333333333,5,5,0.16666666666666666,0.0,0.0,1
3691,0,102,9,0.5,4.166666666666667,9,9,0.5,0.0,0.0,1
7313,0,36,3,0.5,3.857142857142857,4,4,0.42857142857142855,0.0,0.0,1
3062,0,72,7,0.5,3.7333333333333334,7,7,0.5,0.0,0.0,1
5609,1,74,4,0.6486486486486487,4.416666666666667,8,8,0.3333333333333333,0.0,0.0,1
2176,1,82,3,0.6707317073170732,5.083333333333333,9,9,0.25,0.0,0.0,1
5600,1,56,2,0.6964285714285714,5.375,6,6,0.25,0.125,0.0,1
3800,1,29,0,0.8275862068965517,4.8,5,5,0.0,0.0,0.0,1
75,1,68,3,0.7058823529411765,4.545454545454546,8,8,0.2727272727272727,0.0,0.09090909090909091,0
1524,0,114,8,0.6403508771929824,4.65,12,11,0.4,0.0,0.0,0
6868,0,84,5,0.6428571428571429,4.266666666666667,10,10,0.3333333333333333,0.13333333333333333,0.0,0
7585,1,47,1,0.7872340425531915,5.428571428571429,6,5,0.14285714285714285,0.0,0.0,1
1812,1,62,1,0.7419354838709677,4.6,9,9,0.1,0.0,0.0,1
837,0,34,1,0.6470588235294118,7.5,3,3,0.25,0.0,0.25,0
4760,1,52,2,0.7307692307692307,5.125,6,6,0.25,0.0,0.0,1
2304,0,33,1,0.5757575757575758,5.25,3,3,0.25,0.0,0.0,0
500,1,100,5,0.64,5.0,10,10,0.3333333333333333,0.0,0.0,1
2878,1,81,1,0.7777777777777778,5.636363636363637,10,10,0.09090909090909091,0.0,0.0,1
4766,0,71,4,0.704225352112676,5.5,6,6,0.4,0.0,0.1,0
1556,0,107,13,0.48598130841121495,3.6956521739130435,7,7,0.5909090909090909,0.0,0.045454545454545456,0
2634,1,114,4,0.7192982456140351,6.6923076923076925,9,8,0.3076923076923077,0.0,0.0,0
4444,0,112,11,0.5267857142857143,3.8095238095238093,9,9,0.5238095238095238,0.0,0.0,1
661,1,103,12,0.44660194174757284,3.1818181818181817,10,9,0.5454545454545454,0.0,0.0,0
4061,0,53,4,0.49056603773584906,4.625,4,4,0.5,0.0,0.0,0
5471,0,116,12,0.3879310344827586,3.9545454545454546,9,9,0.5714285714285714,0.0,0.0,0
2717,1,72,2,0.625,5.555555555555555,7,7,0.2222222222222222,0.0,0.0,1
1946,0,40,0,0.65,3.7142857142857144,6,6,0.0,0.0,0.0,0
7080,1,113,3,0.6991150442477876,5.1875,13,11,0.1875,0.0,0.0,0
4989,0,96,10,0.5,4.222222222222222,8,8,0.5555555555555556,0.0,0.0,0
6604,1,57,1,0.7543859649122807,5.625,7,7,0.125,0.0,0.0,1
7076,1,58,1,0.7931034482758621,6.0,7,7,0.125,0.0,0.0,0
3564,0,138,13,0.4927536231884058,4.08,10,9,0.5416666666666666,0.0,0.0,1
712,1,59,3,0.711864406779661,4.777777777777778,6,6,0.3333333333333333,0.0,0.0,0
263,1,118,7,0.6440677966101694,4.944444444444445,11,11,0.3888888888888889,0.16666666666666666,0.05555555555555555,0
1722,0,135,15,0.4074074074074074,4.08,9,8,0.6,0.0,0.0,0
3291,1,87,5,0.5172413793103449,4.909090909090909,6,6,0.45454545454545453,0.18181818181818182,0.0,1
2486,0,92,8,0.5434782608695652,3.6315789473684212,9,9,0.4444444444444444,0.0,0.0,0
5753,1,105,4,0.6571428571428571,4.9375,12,12,0.25,0.1875,0.0,0
6139,0,119,6,0.5210084033613446,4.055555555555555,10,10,0.35294117647058826,0.0,0.058823529411764705,0
7244,0,44,3,0.6818181818181818,5.0,4,4,0.42857142857142855,0.0,0.0,1
4953,0,135,15,0.4,3.8076923076923075,9,9,0.6,0.04,0.04,0
880,0,119,8,0.5630252100840336,4.35,12,12,0.4,0.0,0.0,0
7491,0,85,3,0.7176470588235294,6.2727272727272725,8,8,0.2727272727272727,0.09090909090909091,0.0,1
440,0,60,1,0.7666666666666667,4.083333333333333,11,11,0.08333333333333333,0.0,0.0,0
6953,1,103,5,0.6796116504854369,5.066666666666666,10,10,0.3333333333333333,0.0,0.0,1
5864,0,40,4,0.5,3.5555555555555554,4,4,0.5,0.0,0.0,0
5680,0,45,5,0.4222222222222222,4.0,3,3,0.625,0.125,0.0,0
2617,1,114,5,0.6842105263157895,5.8125,10,10,0.3333333333333333,0.0,0.0,0
785,0,140,13,0.4928571428571429,3.6551724137931036,11,10,0.48148148148148145,0.0,0.037037037037037035,0
5384,0,61,3,0.6229508196721312,4.4,7,7,0.3,0.0,0.1,0
6098,0,67,7,0.44776119402985076,3.3333333333333335,6,6,0.5384615384615384,0.0,0.0,0
1740,0,83,8,0.5421686746987951,4.6,7,7,0.5333333333333333,0.0,0.06666666666666667,1
3260,0,64,0,0.828125,5.555555555555555,9,9,0.0,0.0,0.0,1
965,0,136,15,0.4411764705882353,3.225806451612903,13,13,0.5172413793103449,0.0,0.034482758620689655,0
5825,1,70,4,0.6142857142857143,4.5,7,7,0.36363636363636365,0.09090909090909091,0.0,1
6796,0,138,8,0.6376811594202898,5.0476190476190474,13,13,0.38095238095238093,0.0,0.14285714285714285,0
2021,0,39,0,0.8974358974358975,8.75,4,4,0.0,0.0,0.25,1
1558,1,76,2,0.7368421052631579,7.222222222222222,7,7,0.2222222222222222,0.0,0.0,1
3482,0,76,6,0.47368421052631576,4.5,6,6,0.5,0.0,0.08333333333333333,0
7593,0,60,7,0.4,4.0,5,5,0.5833333333333334,0.0,0.0,0
754,0,134,13,0.47761194029850745,3.925925925925926,11,11,0.52,0.0,0.0,0
5254,1,64,1,0.765625,4.636363636363637,10,9,0.09090909090909091,0.0,0.0,1
1050,1,110,15,0.2727272727272727,3.5,7,7,0.6818181818181818,0.0,0.0,0
3410,0,43,4,0.5116279069767442,3.1,4,4,0.4444444444444444,0.0,0.0,0
2984,0,139,13,0.5179856115107914,4.083333333333333,11,11,0.5416666666666666,0.0,0.0,0
3378,1,109,6,0.6330275229357798,5.8,8,8,0.4,0.0,0.06666666666666667,1
7125,1,104,2,0.7692307692307693,5.125,12,12,0.13333333333333333,0.0,0.0,1
5018,0,103,2,0.7281553398058253,6.3076923076923075,10,10,0.16666666666666666,0.25,0.4166666666666667,1
5231,1,106,4,0.6886792452830188,4.625,12,9,0.25,0.0,0.0625,0
5021,0,48,3,0.5416666666666666,4.5,5,5,0.375,0.0,0.0,0
3038,1,88,2,0.6477272727272727,5.8,8,6,0.2,0.2,0.0,1
1377,1,104,5,0.6730769230769231,4.9411764705882355,9,7,0.3333333333333333,0.06666666666666667,0.0,0
